,Exclusive License,Non-Exclusive License,Exclusive Option,Non-Exclusive Option,Co-Exclusive License
All Remarks,64.24,29.94,4.94,0.48,0.39
Positive UB,64.9,29.81,4.33,0.48,0.48
Negative UB,63.76,31.54,4.03,0.67,
