,Michael Hinton,David Gross,Omkar Bhave,Jacob Lissoos,Brittany Butler,Eric J. Ginsburg,Thelma Tennant,Heather A. Bakalyar,Sao-Mai Nguyen-Mau
All Remarks,38.37,21.21,17.66,13.48,4.04,2.27,1.13,1.06,0.78
Positive UB,48.36,16.43,15.49,15.49,1.41,1.41,0.47,,0.94
Negative UB,34.69,21.43,13.27,19.39,2.04,5.1,1.02,3.06,
