,Exclusive License,Non-Exclusive License,Exclusive Option,Non-Exclusive Option,Co-Exclusive License
All Remarks,62.78,32.17,4.28,0.42,0.34
Positive UB,66.38,29.74,3.45,0.43,
Negative UB,72.48,24.83,2.68,,
