,Michael Hinton,David Gross,Omkar Bhave,Jacob Lissoos,Brittany Butler,Eric J. Ginsburg,Thelma Tennant,Heather A. Bakalyar,Sao-Mai Nguyen-Mau
All Remarks,38.37,21.21,17.66,13.48,4.04,2.27,1.13,1.06,0.78
Positive UB,24.2,28.03,21.66,15.29,5.1,3.18,0.64,0.64,1.27
Negative UB,24.39,29.27,12.2,17.07,4.88,4.88,4.88,2.44,
